brand,price,season,sex,top_matereal,pad_matereal,sole_matereal,shoe_type,vendor,discount_status,size_34,size_35,size_36,size_37,size_38,size_39,size_40,size_41,size_42,size_43,size_44,size_45,size_46,size_47,size_48
Aquamarine,79,Весна/Осень,Мужская обувь,Кожа,Кожа,Полимерный материал,Кроссовки,012571518-8,,false,true,true,false,false,true,true,true,false,true,true,false,false,true,true
Purple,74,Зима,Женская обувь,Замша,Кожа,Замша,Кеды,268656842-9,,false,true,false,true,true,true,false,true,true,false,false,false,true,true,false
Khaki,48,Зима,Женская обувь,Замша,Полимерный материал,Полимерный материал,Туфли,257884804-1,,false,false,false,false,true,true,true,false,false,false,false,false,false,true,true
Goldenrod,22,Лето,Женская обувь,Кожа,Замша,Полимерный материал,Тапки,267420814-7,15,true,true,true,true,false,false,false,false,false,true,true,true,false,false,true
Goldenrod,38,Весна/Осень,Мужская обувь,Кожа,Замша,Полимерный материал,Сандалии,649739538-5,,false,true,false,true,true,false,true,false,true,false,false,true,true,false,true
Mauv,67,Лето,Мужская обувь,Кожа,Замша,Замша,Мокасины,440107612-5,,true,false,true,false,true,false,true,true,true,true,false,false,false,false,false
Goldenrod,8,Весна/Осень,Женская обувь,Полимерный материал,Кожа,Замша,Угги,732645607-0,,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false
Crimson,38,Зима,Женская обувь,Замша,Полимерный материал,Полимерный материал,Сапоги,104702206-0,,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false
Teal,75,Лето,Мужская обувь,Кожа,Кожа,Замша,Тапки,660491836-X,,false,true,true,false,true,true,false,true,false,false,true,false,false,true,true
Puce,56,Зима,Мужская обувь,Полимерный материал,Кожа,Замша,Сандалии,192236984-5,15,false,false,false,true,true,true,false,true,false,false,false,true,true,true,false
Crimson,29,Зима,Мужская обувь,Замша,Замша,Полимерный материал,Тапки,511430256-6,,true,true,true,false,false,true,true,false,false,true,true,true,true,false,true
Khaki,3,Лето,Женская обувь,Кожа,Замша,Замша,Кеды,568197061-2,,true,true,false,true,true,true,false,false,false,true,true,false,true,false,true
Aquamarine,70,Зима,Женская обувь,Замша,Кожа,Полимерный материал,Босоножки,273359092-8,,false,true,true,true,true,true,true,false,true,true,false,false,true,true,false
Goldenrod,75,Весна/Осень,Женская обувь,Кожа,Полимерный материал,Полимерный материал,Сапоги,862987326-4,10,false,false,false,false,true,true,true,false,false,true,false,true,true,false,true
Mauv,76,Лето,Женская обувь,Замша,Полимерный материал,Полимерный материал,Сабо,780236749-2,30,true,true,false,false,true,false,true,true,true,false,true,true,false,true,true
Turquoise,68,Зима,Женская обувь,Кожа,Кожа,Замша,Мокасины,683997261-5,10,true,true,false,false,true,true,false,true,false,false,false,false,true,false,false
Violet,8,Лето,Мужская обувь,Кожа,Полимерный материал,Кожа,Кеды,010844312-4,30,true,true,false,true,true,false,true,true,false,false,true,true,true,true,false
Orange,30,Зима,Мужская обувь,Полимерный материал,Кожа,Замша,Сабо,280440997-X,,true,false,true,true,false,false,true,true,true,false,true,false,true,false,false
Mauv,9,Весна/Осень,Мужская обувь,Замша,Полимерный материал,Полимерный материал,Туфли,163900187-5,,false,false,true,true,false,true,true,false,false,false,false,true,false,false,true
Violet,12,Весна/Осень,Женская обувь,Замша,Замша,Полимерный материал,Сандалии,914017692-4,,true,true,false,false,false,false,true,true,false,false,false,false,false,true,false
Violet,20,Зима,Мужская обувь,Замша,Кожа,Замша,Ботинки,382835274-X,30,false,true,false,false,true,false,true,false,false,true,false,true,false,true,false
Violet,49,Лето,Женская обувь,Замша,Кожа,Замша,Ботинки,591803636-9,,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false
Turquoise,35,Весна/Осень,Женская обувь,Замша,Замша,Замша,Босоножки,248157743-4,,false,false,true,true,false,true,true,true,false,true,true,true,true,true,false
Puce,19,Зима,Мужская обувь,Полимерный материал,Полимерный материал,Полимерный материал,Кроссовки,885885666-X,,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true
Puce,99,Зима,Мужская обувь,Полимерный материал,Кожа,Кожа,Босоножки,931303154-X,,false,true,true,false,false,true,true,false,true,false,true,true,true,false,false
Indigo,22,Зима,Мужская обувь,Замша,Полимерный материал,Полимерный материал,Сандалии,311288954-1,30,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false
Turquoise,6,Весна/Осень,Женская обувь,Полимерный материал,Полимерный материал,Кожа,Ботинки,678550121-0,,true,true,false,true,true,true,false,false,false,true,true,false,false,true,false
Goldenrod,98,Лето,Мужская обувь,Замша,Кожа,Замша,Кеды,736719824-6,10,true,true,true,true,false,false,false,true,false,true,true,true,false,true,false
Orange,52,Зима,Мужская обувь,Кожа,Замша,Замша,Кеды,453468983-7,,true,false,false,true,true,false,false,false,false,false,false,false,false,true,false
Puce,62,Зима,Мужская обувь,Кожа,Полимерный материал,Полимерный материал,Босоножки,253397679-2,,true,true,true,true,false,false,false,true,true,false,true,false,true,false,false
Maroon,16,Лето,Женская обувь,Полимерный материал,Полимерный материал,Замша,Слипоны,482979560-3,45,true,true,false,true,true,true,false,true,false,false,false,true,true,false,false
Goldenrod,41,Зима,Мужская обувь,Полимерный материал,Полимерный материал,Полимерный материал,Сабо,061859466-3,,true,true,false,true,true,false,true,false,true,true,true,false,true,true,false
Yellow,55,Весна/Осень,Женская обувь,Кожа,Замша,Замша,Тапки,821139164-3,15,false,true,true,false,true,false,true,false,true,true,true,false,false,true,false
Blue,19,Лето,Мужская обувь,Полимерный материал,Замша,Замша,Кроссовки,762477591-3,30,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false
Puce,38,Лето,Мужская обувь,Замша,Полимерный материал,Замша,Угги,939607038-6,15,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false
Turquoise,81,Весна/Осень,Женская обувь,Кожа,Кожа,Замша,Тапки,372575550-7,,false,true,true,false,false,false,true,false,true,false,false,true,false,true,false
Aquamarine,5,Весна/Осень,Мужская обувь,Полимерный материал,Замша,Полимерный материал,Туфли,923624553-6,,false,true,false,true,false,true,true,true,true,true,false,true,false,true,true
Red,18,Лето,Мужская обувь,Замша,Замша,Кожа,Кроссовки,570092275-4,10,true,false,false,false,true,true,true,false,false,true,true,false,true,false,false
Violet,50,Зима,Женская обувь,Замша,Кожа,Полимерный материал,Ботинки,856470989-9,,false,true,false,true,true,false,true,false,false,true,false,false,false,false,true
Crimson,59,Зима,Женская обувь,Полимерный материал,Кожа,Кожа,Тапки,648823965-1,,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true
Teal,66,Зима,Мужская обувь,Замша,Полимерный материал,Кожа,Мокасины,322713277-X,,true,false,true,false,false,false,true,false,false,true,true,true,true,false,true
Puce,85,Весна/Осень,Женская обувь,Кожа,Замша,Полимерный материал,Тапки,240008349-5,45,false,true,true,true,false,true,true,false,true,true,false,false,false,false,false
Fuscia,61,Лето,Мужская обувь,Замша,Замша,Полимерный материал,Мокасины,211237612-8,10,false,false,false,true,false,false,true,true,true,true,true,false,true,true,true
Mauv,87,Зима,Женская обувь,Полимерный материал,Замша,Полимерный материал,Слипоны,619236865-1,,true,false,true,true,true,true,true,false,true,true,false,false,true,false,false
Pink,75,Весна/Осень,Мужская обувь,Полимерный материал,Кожа,Кожа,Ботинки,945699793-6,,true,true,true,false,true,true,false,true,true,false,false,true,true,true,false
Fuscia,54,Лето,Мужская обувь,Замша,Кожа,Замша,Сабо,568823273-0,,true,true,true,false,true,true,true,false,true,false,false,true,true,true,false
Orange,7,Зима,Женская обувь,Полимерный материал,Кожа,Замша,Туфли,707318847-2,45,true,true,false,false,true,true,false,true,true,true,true,true,true,false,true
Pink,48,Зима,Женская обувь,Полимерный материал,Замша,Замша,Сандалии,722448398-2,30,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true
Puce,72,Весна/Осень,Мужская обувь,Замша,Полимерный материал,Кожа,Тапки,777682010-5,45,true,true,true,false,true,true,false,false,false,false,true,true,false,false,false
Pink,28,Весна/Осень,Мужская обувь,Полимерный материал,Замша,Замша,Слипоны,448014411-0,,true,true,false,true,true,false,false,true,false,true,true,true,true,false,false
Maroon,2,Лето,Женская обувь,Замша,Кожа,Замша,Угги,145653069-0,45,false,false,false,false,false,false,false,true,false,true,true,true,true,true,false
Indigo,75,Зима,Мужская обувь,Кожа,Замша,Замша,Тапки,204305441-4,30,false,true,true,true,false,false,false,false,false,true,true,false,false,true,true
Maroon,28,Зима,Женская обувь,Замша,Кожа,Кожа,Сапоги,729551701-4,,false,false,false,true,false,false,true,true,false,false,false,true,false,false,false
Purple,42,Зима,Мужская обувь,Полимерный материал,Замша,Кожа,Сапоги,317272715-7,15,true,true,false,true,true,false,false,true,false,false,false,false,false,false,false
Fuscia,44,Зима,Мужская обувь,Кожа,Замша,Полимерный материал,Туфли,587109470-8,30,false,false,false,false,true,true,true,false,false,true,false,false,true,false,true
Yellow,21,Весна/Осень,Женская обувь,Кожа,Замша,Полимерный материал,Сапоги,184237703-5,,false,false,true,true,true,true,true,false,true,false,true,false,false,true,false
Mauv,36,Весна/Осень,Мужская обувь,Полимерный материал,Замша,Замша,Слипоны,430642146-5,,false,true,false,true,false,true,true,true,true,true,false,true,false,false,true
Turquoise,25,Зима,Мужская обувь,Кожа,Полимерный материал,Замша,Кеды,495846031-4,10,false,true,false,true,false,false,false,false,false,false,true,true,false,false,true
Pink,30,Весна/Осень,Женская обувь,Кожа,Кожа,Замша,Кроссовки,557029421-X,45,true,true,true,false,true,true,false,false,false,true,false,true,false,true,true
Red,27,Зима,Мужская обувь,Кожа,Полимерный материал,Кожа,Ботинки,840272252-0,,false,false,true,false,true,false,false,true,false,true,false,false,false,true,false
Pink,100,Зима,Мужская обувь,Полимерный материал,Полимерный материал,Замша,Босоножки,771722013-X,,true,false,true,true,true,false,true,false,false,false,true,true,false,true,false
Indigo,93,Лето,Женская обувь,Кожа,Замша,Кожа,Туфли,095898739-4,30,false,false,true,true,false,true,true,true,false,false,false,false,true,true,true
Maroon,52,Зима,Женская обувь,Полимерный материал,Замша,Замша,Угги,774613672-9,,false,true,false,false,true,false,false,true,false,true,true,true,true,true,true
Violet,20,Зима,Женская обувь,Кожа,Замша,Замша,Угги,502975922-0,15,true,true,false,true,false,true,true,true,true,true,false,false,true,true,false
Blue,83,Весна/Осень,Мужская обувь,Замша,Замша,Замша,Кроссовки,105383786-0,45,true,false,false,true,false,true,true,false,false,true,true,false,false,true,false
Teal,23,Лето,Мужская обувь,Замша,Замша,Кожа,Туфли,860306422-9,,true,true,false,true,false,false,false,true,false,true,false,false,false,true,true
Pink,64,Зима,Женская обувь,Замша,Полимерный материал,Полимерный материал,Тапки,661077910-4,,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true
Puce,20,Лето,Женская обувь,Полимерный материал,Полимерный материал,Кожа,Ботинки,730684073-8,,false,true,true,false,false,false,false,false,false,true,true,true,true,false,false
Teal,49,Лето,Мужская обувь,Кожа,Полимерный материал,Замша,Туфли,125131798-7,10,true,true,true,true,false,false,true,true,true,false,false,true,true,false,true
Purple,15,Зима,Мужская обувь,Кожа,Кожа,Полимерный материал,Туфли,563939293-2,,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true
Pink,30,Весна/Осень,Мужская обувь,Замша,Замша,Полимерный материал,Слипоны,073544668-7,,true,true,true,false,false,false,false,false,true,false,true,false,false,false,true
Khaki,15,Зима,Мужская обувь,Полимерный материал,Полимерный материал,Кожа,Слипоны,860700175-2,,true,true,true,false,false,false,false,false,false,false,true,false,true,true,false
Khaki,7,Весна/Осень,Мужская обувь,Замша,Кожа,Кожа,Сандалии,209386326-X,15,true,false,true,true,false,true,true,false,true,true,false,true,true,true,false
Yellow,73,Лето,Женская обувь,Кожа,Полимерный материал,Замша,Ботинки,427424365-6,15,true,true,true,true,false,true,true,false,true,false,true,false,false,true,false
Red,21,Лето,Женская обувь,Полимерный материал,Замша,Кожа,Кроссовки,491448242-8,,true,false,false,true,false,true,true,true,true,true,false,false,true,true,false
Puce,48,Весна/Осень,Женская обувь,Кожа,Полимерный материал,Кожа,Босоножки,959289713-1,,true,false,true,true,true,false,false,false,true,false,true,false,false,false,true
Orange,47,Лето,Женская обувь,Кожа,Кожа,Полимерный материал,Сабо,687466580-4,,false,true,true,false,true,false,false,true,false,true,false,true,false,false,false
Red,97,Весна/Осень,Женская обувь,Замша,Кожа,Полимерный материал,Туфли,749208248-7,,false,false,true,true,false,false,true,false,true,false,false,true,true,false,true
Goldenrod,59,Лето,Мужская обувь,Полимерный материал,Полимерный материал,Полимерный материал,Угги,800247113-X,,true,false,false,false,true,true,false,true,true,true,false,false,false,false,false
Teal,51,Зима,Мужская обувь,Кожа,Полимерный материал,Полимерный материал,Босоножки,123956298-5,,true,false,true,false,false,false,true,true,true,true,false,false,false,true,true
Pink,76,Весна/Осень,Женская обувь,Кожа,Полимерный материал,Замша,Тапки,438239148-2,,false,false,false,false,true,false,true,true,true,true,true,false,false,true,true
Khaki,91,Весна/Осень,Мужская обувь,Кожа,Полимерный материал,Полимерный материал,Кеды,426829717-0,30,false,true,false,true,false,false,false,true,false,true,false,false,false,false,false
Red,81,Лето,Женская обувь,Замша,Полимерный материал,Кожа,Кеды,508571736-8,,true,true,false,false,true,true,false,true,false,true,false,false,true,true,false
Orange,54,Лето,Мужская обувь,Замша,Замша,Полимерный материал,Кеды,700888626-8,45,true,true,true,false,false,true,false,true,true,true,false,true,true,true,true
Goldenrod,40,Зима,Женская обувь,Кожа,Полимерный материал,Замша,Сапоги,141401481-3,30,false,false,true,true,true,false,false,true,true,true,true,false,false,false,true
Pink,73,Зима,Мужская обувь,Кожа,Полимерный материал,Полимерный материал,Тапки,744404956-4,,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false
Goldenrod,92,Лето,Женская обувь,Полимерный материал,Полимерный материал,Кожа,Сандалии,970887412-4,10,true,false,true,true,false,true,false,false,true,true,false,false,true,false,false
Pink,67,Лето,Женская обувь,Замша,Кожа,Замша,Тапки,200635590-2,10,true,true,false,true,false,false,false,false,true,false,false,true,true,false,false
Green,100,Зима,Мужская обувь,Полимерный материал,Полимерный материал,Замша,Ботинки,144123110-2,,false,true,true,true,false,true,true,true,false,true,false,false,true,true,false
Red,46,Весна/Осень,Женская обувь,Замша,Кожа,Замша,Слипоны,825862338-9,45,false,false,true,true,false,true,false,true,false,true,false,true,true,false,true
Indigo,6,Весна/Осень,Мужская обувь,Замша,Замша,Кожа,Слипоны,455538913-1,30,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true
Purple,96,Весна/Осень,Женская обувь,Замша,Замша,Замша,Кроссовки,300854014-7,,false,false,true,true,true,true,true,true,false,true,false,false,false,false,true
Indigo,40,Зима,Мужская обувь,Полимерный материал,Кожа,Замша,Кеды,194348899-1,,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false
Puce,91,Лето,Мужская обувь,Кожа,Кожа,Полимерный материал,Сандалии,042676730-6,30,true,false,false,false,false,true,false,false,false,true,true,true,false,false,true
Khaki,50,Зима,Мужская обувь,Кожа,Кожа,Полимерный материал,Сапоги,665368427-X,45,true,false,true,true,true,true,false,true,false,false,true,false,true,false,true
Goldenrod,58,Весна/Осень,Женская обувь,Полимерный материал,Замша,Замша,Мокасины,191046270-5,10,false,true,false,true,false,false,true,true,false,false,false,false,true,false,false
Khaki,10,Лето,Мужская обувь,Полимерный материал,Кожа,Кожа,Слипоны,378098550-0,,true,true,false,false,true,false,true,true,true,false,true,false,false,true,true
Green,81,Весна/Осень,Мужская обувь,Кожа,Замша,Полимерный материал,Слипоны,817523482-2,,true,false,false,true,true,true,true,false,false,true,true,false,true,false,true
Purple,82,Лето,Мужская обувь,Замша,Замша,Замша,Ботинки,177772893-2,10,false,true,false,false,false,true,false,false,true,false,false,true,true,false,true
Green,36,Зима,Мужская обувь,Кожа,Полимерный материал,Кожа,Ботинки,370117976-X,,false,false,false,false,true,true,false,false,false,false,true,false,true,true,false
Turquoise,19,Весна/Осень,Женская обувь,Кожа,Замша,Полимерный материал,Сабо,137542763-6,,false,true,false,false,true,true,false,false,false,false,true,true,true,false,false
Puce,20,Весна/Осень,Мужская обувь,Кожа,Полимерный материал,Кожа,Мокасины,441911867-9,15,true,true,true,false,true,true,true,true,true,true,true,false,true,false,false
Puce,21,Весна/Осень,Мужская обувь,Замша,Замша,Замша,Туфли,545377823-7,,false,true,false,false,true,true,false,true,true,true,false,false,true,true,false
Puce,31,Лето,Женская обувь,Полимерный материал,Кожа,Полимерный материал,Ботинки,496726202-3,30,true,true,true,true,false,true,true,true,false,true,false,false,true,false,false
Blue,69,Зима,Мужская обувь,Замша,Замша,Замша,Босоножки,307605979-3,,true,false,true,false,false,false,false,false,true,true,true,true,false,true,false
Green,23,Зима,Женская обувь,Замша,Кожа,Замша,Босоножки,523747928-6,,false,false,true,false,true,false,false,false,true,false,true,false,false,true,true
Yellow,96,Зима,Мужская обувь,Кожа,Замша,Полимерный материал,Тапки,085863559-3,,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true
Purple,82,Зима,Женская обувь,Кожа,Полимерный материал,Кожа,Кеды,143664524-7,,false,true,true,true,false,true,true,false,false,true,false,true,false,false,false
Indigo,81,Лето,Женская обувь,Полимерный материал,Замша,Кожа,Сапоги,700285532-8,,true,true,false,true,true,true,false,false,false,true,false,true,false,false,false
Red,14,Зима,Женская обувь,Полимерный материал,Полимерный материал,Полимерный материал,Слипоны,700768593-5,,false,false,true,false,false,true,true,false,true,true,false,true,false,false,false
Yellow,32,Весна/Осень,Мужская обувь,Замша,Полимерный материал,Полимерный материал,Сабо,768316161-6,30,false,false,false,true,false,false,true,false,false,false,false,true,false,true,true
Violet,39,Зима,Женская обувь,Замша,Кожа,Замша,Слипоны,751118718-8,,false,true,false,true,false,false,false,true,false,true,false,false,false,true,true
Teal,8,Зима,Женская обувь,Замша,Полимерный материал,Полимерный материал,Кеды,856589135-6,10,true,false,true,false,true,false,false,false,true,false,false,false,true,true,false
Pink,26,Зима,Женская обувь,Полимерный материал,Кожа,Кожа,Тапки,716858899-0,45,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true
Fuscia,1,Зима,Мужская обувь,Полимерный материал,Замша,Полимерный материал,Сапоги,651282435-0,,false,false,false,false,false,true,true,false,true,true,false,true,true,true,false
Goldenrod,38,Зима,Женская обувь,Полимерный материал,Полимерный материал,Кожа,Ботинки,665864418-7,45,true,false,false,false,true,false,false,true,false,true,true,false,false,true,false
Violet,86,Весна/Осень,Мужская обувь,Кожа,Замша,Замша,Босоножки,460164654-5,15,true,true,false,false,true,true,true,false,true,false,false,false,true,false,true
Turquoise,32,Лето,Женская обувь,Полимерный материал,Кожа,Кожа,Сапоги,642373433-X,45,true,true,true,true,true,false,true,false,true,false,true,true,true,false,false
Red,88,Весна/Осень,Мужская обувь,Кожа,Замша,Полимерный материал,Ботинки,157992867-6,,true,false,false,true,false,true,false,true,false,false,true,false,false,true,false
Indigo,26,Весна/Осень,Женская обувь,Полимерный материал,Замша,Замша,Кроссовки,551801645-X,,false,true,true,false,true,true,false,true,true,false,false,false,true,false,false
Violet,36,Зима,Женская обувь,Замша,Полимерный материал,Полимерный материал,Сандалии,595067405-7,,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false
Purple,97,Зима,Мужская обувь,Замша,Полимерный материал,Полимерный материал,Мокасины,265760338-6,,true,true,false,true,false,false,false,false,true,true,false,false,true,true,true
Green,17,Зима,Женская обувь,Кожа,Кожа,Замша,Сапоги,734272892-6,,true,true,false,true,true,true,false,false,true,true,true,false,false,true,true
Teal,29,Зима,Мужская обувь,Замша,Замша,Кожа,Босоножки,632111826-5,10,true,true,false,false,false,false,true,true,true,true,true,false,false,true,false
Red,54,Весна/Осень,Женская обувь,Полимерный материал,Полимерный материал,Кожа,Слипоны,305410585-7,,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true
